SQI,BlockGap_min,TrainDur_min,TimeGap_min,Avg_MAE_SBP,Avg_MAE_DBP,Fold1,Fold2,Fold3,Fold4,Fold5
None,0,3,5,10.775692,6.314258,2.5630567,10.853207,12.483089,13.650237,14.32887
None,0,3,15,9.439215,6.177768,6.2651763,3.1158495,11.610622,13.058142,13.146282
None,0,3,30,13.832196,7.842374,1.115001,4.8407116,24.232008,14.354415,24.618843
None,0,5,5,10.206203,6.3160143,1.3016622,7.6931844,15.58097,14.986109,11.469089
None,0,5,15,8.1194515,5.445775,3.8794587,4.0365095,13.490183,10.455615,8.73549
None,0,5,30,13.986334,7.2746377,1.3247441,6.854233,21.842049,15.904529,24.006111
None,0,10,5,10.986098,6.128283,2.1266937,10.566884,13.3605585,14.3327675,14.54359
None,0,10,15,8.992807,5.500651,1.9984505,6.058554,19.540972,10.034247,7.3318152
None,0,10,30,16.469706,7.0521173,1.1494946,13.558846,23.991272,17.00205,26.64686
None,0,15,5,10.574776,6.3246145,1.7368332,9.281117,12.295539,15.588944,13.971444
None,0,15,15,9.053453,5.879082,1.122848,2.828124,19.90587,11.254803,10.155621
None,0,15,30,16.80331,7.3478365,1.2884362,14.771588,23.32062,15.944689,28.691221
None,3,3,5,9.582689,6.8352785,1.3873057,8.753754,16.81416,11.887051,9.071177
None,3,3,15,10.248536,5.9877305,2.0634778,9.844815,14.97043,12.651877,11.712078
None,3,3,30,13.766188,8.309437,1.912319,4.3626666,24.274141,15.465896,22.81592
None,3,5,5,10.945122,6.6712723,1.2777382,12.718769,17.11133,13.934958,9.682813
None,3,5,15,9.891372,5.997836,1.8497014,9.337405,19.528324,10.963273,7.778155
None,3,5,30,14.371313,7.2066917,1.1728526,8.431594,23.379705,16.20856,22.663855
None,3,10,5,10.821245,6.190194,2.8841004,11.971562,13.368246,13.4145155,12.467802
None,3,10,15,8.49449,5.44731,1.3773252,6.2136607,20.959402,8.1898155,5.732244
None,3,10,30,16.906605,6.9077444,1.6268369,15.579403,24.734343,17.541222,25.051214
None,3,15,5,11.001386,6.100272,4.151931,11.344937,12.426878,14.21031,12.8728695
None,3,15,15,10.143502,5.6882,1.9241153,4.4665437,22.834528,11.390728,10.101598
None,3,15,30,16.162516,7.5873976,1.6256673,12.560283,24.822447,14.886473,26.917711
None,5,3,5,11.6425085,7.807582,1.9063759,12.762847,16.547422,14.700136,12.295765
None,5,3,15,10.872717,7.047181,1.2261337,11.488794,20.609112,10.7947,10.244843
None,5,3,30,16.187937,7.4956193,2.0012352,14.452014,23.429792,15.882737,25.1739
None,5,5,5,11.432076,6.734688,2.167454,14.988825,15.503569,13.069336,11.431199
None,5,5,15,10.595146,6.1300507,1.7410083,9.037949,23.036938,8.966119,10.193716
None,5,5,30,17.090614,7.087554,1.5221019,20.908606,24.10925,15.366883,23.546236
None,5,10,5,10.978075,6.2949705,2.9908407,12.656085,11.546381,13.068891,14.628176
None,5,10,15,8.652942,5.720205,2.2471323,5.5253096,20.881018,8.69191,5.9193416
None,5,10,30,16.135555,6.9924383,1.4181788,15.06329,24.548487,13.791646,25.85618
None,5,15,5,10.588721,6.304924,2.4965723,10.346256,13.315811,13.670697,13.114269
None,5,15,15,9.678236,5.9889,1.6894747,3.4387445,23.405016,10.314944,9.542999
None,5,15,30,16.87965,7.67128,2.0322597,11.612728,24.749044,16.422825,29.58139
None,10,3,5,13.713083,7.732035,4.15545,17.267061,17.348103,16.907354,12.8874445
None,10,3,15,12.406726,7.1484756,1.216612,11.468444,26.630472,9.878545,12.839557
None,10,3,30,16.315968,8.255376,1.6330531,12.080956,25.823368,18.416185,23.626282
None,10,5,5,13.005087,7.29207,7.280873,14.972092,14.924121,16.042318,11.806026
None,10,5,15,10.812289,5.8711367,1.545638,9.942659,24.243649,8.807514,9.521989
None,10,5,30,16.021877,7.851294,1.2355349,12.822477,26.397388,17.039736,22.61425
None,10,10,5,10.440736,6.0162253,2.8398786,12.343752,10.288088,12.576431,14.15553
None,10,10,15,9.179522,5.637309,1.1817347,8.36095,22.273382,7.671535,6.4100027
None,10,10,30,15.520609,7.378174,1.7597975,11.810701,25.15291,12.406605,26.47303
None,10,15,5,10.221417,5.8147383,1.8711067,11.482886,12.524265,13.222436,12.006394
None,10,15,15,10.147387,5.814133,1.8657417,8.017843,21.628164,10.56225,8.662931
None,10,15,30,16.290728,7.8799233,3.878787,8.956456,23.939875,15.67657,29.001947
Strict,0,3,5,9.843578,6.8179626,1.446047,10.161886,13.74144,13.387949,10.480573
Strict,0,3,15,9.181078,6.1108265,5.718771,4.3727803,11.235665,12.667692,11.910476
Strict,0,3,30,13.653333,8.631527,1.5639132,2.75772,25.027401,14.951167,23.966461
Strict,0,5,5,9.951922,6.421396,1.1995186,8.192732,14.227767,14.468012,11.671584
Strict,0,5,15,8.760515,5.336915,4.4200735,5.328771,11.737157,11.27797,11.038607
Strict,0,5,30,14.4340925,6.670514,1.8118217,6.6600256,23.087812,16.121496,24.48931
Strict,0,10,5,11.240198,6.1303644,2.8022501,11.118992,12.914884,13.591647,15.773214
Strict,0,10,15,9.055418,5.040272,1.740273,6.405339,20.198097,9.428547,7.504835
Strict,0,10,30,15.731279,6.9339547,2.160805,12.33539,22.153992,15.040093,26.966116
Strict,0,15,5,10.931822,5.6814995,3.7447686,9.329694,13.145298,15.342238,13.097111
Strict,0,15,15,9.70371,6.074445,1.6225225,2.7321956,21.930168,11.994313,10.23935
Strict,0,15,30,16.799713,7.124396,1.2311679,14.226614,24.796305,16.70962,27.034855
Strict,3,3,5,10.422584,7.0741134,1.3037186,8.551621,17.2572,14.659928,10.340451
Strict,3,3,15,10.626009,6.2043757,2.7892427,9.435713,16.547539,12.087319,12.270232
Strict,3,3,30,13.866389,7.8523855,1.4922763,5.2121997,25.674011,14.822793,22.130667
Strict,3,5,5,11.474689,7.049787,1.504182,10.549115,16.462835,16.133793,12.723516
Strict,3,5,15,10.862389,6.1028886,1.4633542,9.503864,21.033934,12.145279,10.165513
Strict,3,5,30,14.497833,7.0972853,0.9971265,8.235774,23.897755,16.591667,22.766846
Strict,3,10,5,11.317438,6.1676736,5.394708,10.917021,14.203338,13.241906,12.8302145
Strict,3,10,15,8.618052,5.259239,1.838889,5.690841,20.709028,8.913635,5.937863
Strict,3,10,30,17.145315,7.131049,1.4503349,17.973175,23.491964,17.584444,25.22666
Strict,3,15,5,10.736315,6.277975,3.2656975,9.624515,14.326236,13.516427,12.948698
Strict,3,15,15,9.414344,5.88535,1.869352,4.5490427,21.609993,10.43045,8.612882
Strict,3,15,30,16.54635,7.3927255,1.7094009,11.3777485,25.693996,15.731545,28.219059
Strict,5,3,5,11.305295,7.5091085,1.706823,13.437984,15.221658,13.354766,12.805243
Strict,5,3,15,11.260814,6.7993956,1.1879054,11.577175,22.188074,10.387511,10.963404
Strict,5,3,30,17.5506,7.607751,2.135998,14.28064,25.186306,19.9997,26.150354
Strict,5,5,5,12.045965,6.867161,2.1403275,14.196729,17.276531,14.458403,12.157837
Strict,5,5,15,10.751219,6.882788,1.6831543,9.508016,21.102657,11.051147,10.411118
Strict,5,5,30,16.508694,6.9983726,1.8839618,15.817948,23.889925,16.249773,24.701862
Strict,5,10,5,11.093111,6.4954467,3.334508,11.774083,14.007721,13.100226,13.249018
Strict,5,10,15,8.651648,5.393831,1.524114,5.660975,20.775326,8.227724,7.070098
Strict,5,10,30,16.180067,6.952919,1.73439,13.899573,23.146416,16.72232,25.397636
Strict,5,15,5,10.90841,6.373248,2.9717445,11.586246,14.704213,12.852895,12.426953
Strict,5,15,15,9.587416,6.245427,1.4219406,3.7376502,21.0006,12.077321,9.699566
Strict,5,15,30,16.143364,6.868994,1.3369873,13.723848,23.201769,14.152268,28.301949
Strict,10,3,5,13.602552,7.7178774,4.519287,15.180828,19.222683,16.954433,12.1355295
Strict,10,3,15,12.116969,7.203479,2.2039638,12.32484,22.876804,10.947267,12.23197
Strict,10,3,30,16.363914,8.16816,1.5413948,11.192638,26.426617,18.028692,24.630226
Strict,10,5,5,12.476904,7.6065383,5.8038683,13.900571,15.572915,14.066297,13.040866
Strict,10,5,15,10.672921,5.863368,1.5978742,9.8634405,24.641106,7.216727,10.045457
Strict,10,5,30,15.775767,7.6441603,1.0983905,12.012282,26.06819,14.933325,24.766645
Strict,10,10,5,10.170703,6.016094,2.4659944,11.740205,11.110556,13.175324,12.361434
Strict,10,10,15,8.872714,5.2505627,2.039244,7.5870166,20.985832,7.554973,6.196507
Strict,10,10,30,15.211377,7.350768,1.5163318,11.241833,25.114668,11.612206,26.571844
Strict,10,15,5,9.879282,5.4756722,2.7338727,11.546063,11.743801,11.859723,11.512948
Strict,10,15,15,11.003946,6.4378395,1.3238678,8.352186,23.30661,10.455725,11.581342
Strict,10,15,30,15.622986,8.4250555,3.8306959,7.142181,25.191624,13.670042,28.28039
