SQI,BlockGap_min,TrainDur_min,TimeGap_min,Avg_MAE_SBP,Avg_MAE_DBP,Fold1,Fold2,Fold3,Fold4,Fold5
None,0,3,0,5.4718356,4.2177725,1.9231669,2.5020156,5.0868835,11.868986,5.978126
None,0,3,5,9.138828,6.4022307,1.3662834,7.974829,12.139124,12.816402,11.397504
None,0,3,10,12.332758,7.7204566,2.0329998,12.706801,13.458383,16.97464,16.490963
None,0,3,15,10.071678,5.4974747,6.4582977,4.817583,10.7547455,15.377063,12.950705
None,0,5,0,5.0705457,3.3080153,1.9577179,3.3360972,3.4705167,11.124099,5.4642963
None,0,5,5,10.528789,6.198559,1.5345587,8.121974,16.647955,14.200706,12.138753
None,0,5,10,11.405207,7.230175,1.6908414,13.388754,12.969918,15.3242235,13.652295
None,0,5,15,7.9390764,5.2175894,3.6024783,4.815846,11.088438,11.695088,8.493532
None,0,10,0,6.411393,4.1239104,1.4551551,5.7007403,6.56358,10.136128,8.201362
None,0,10,5,11.045496,6.281447,1.8384372,11.072602,13.964853,14.770804,13.580778
None,0,10,10,8.535603,4.867032,2.8600388,7.2263765,10.934208,11.7480345,9.909354
None,0,10,15,8.913489,5.3878374,2.3934941,5.6889453,21.166973,8.450742,6.867293
None,0,15,0,9.176124,6.013823,1.4916285,8.047144,9.6725445,14.089664,12.57964
None,0,15,5,9.689972,6.1274157,1.879237,7.246499,11.997796,14.649256,12.677069
None,0,15,10,8.211223,5.086049,2.7244856,4.734483,12.035825,11.678544,9.88278
None,0,15,15,8.719899,5.6370063,1.1216563,4.0996895,19.72425,9.591958,9.061937
None,3,3,0,5.5624695,4.080226,2.5338929,2.9304838,6.0161886,12.174359,4.157423
None,3,3,5,10.51034,6.713637,1.9983243,8.198084,20.264833,12.135518,9.954938
None,3,3,10,12.262565,7.3568525,2.4533412,13.884169,14.520756,17.206987,13.24757
None,3,3,15,10.644857,6.66973,2.2870831,9.430124,17.26402,13.017975,11.225083
None,3,5,0,5.45302,3.9506645,2.0609982,6.6383505,2.842115,11.541262,4.1823754
None,3,5,5,10.416079,7.1957817,1.9759145,10.91676,16.343023,13.186951,9.657742
None,3,5,10,11.654795,6.8529663,5.9322915,8.628887,15.807729,14.229085,13.675979
None,3,5,15,10.625465,6.6139526,1.4097391,10.639453,20.875288,12.653474,7.5493727
None,3,10,0,7.3855567,4.7949076,2.0245168,8.140339,8.424914,10.663209,7.6748047
None,3,10,5,10.596974,5.908818,3.1101844,10.071781,12.360971,14.940837,12.501097
None,3,10,10,8.609877,4.9826455,2.8571715,7.8949633,10.387351,12.8512335,9.058661
None,3,10,15,8.913733,5.7073245,1.5235169,6.3025928,21.294456,9.088311,6.3597865
None,3,15,0,9.707288,6.21033,2.7639754,11.309156,11.84291,12.843151,9.7772455
